CustomerID,Country,Recency,Frequency,Monetary,AvgBasketValue,ProductDiversity,Tenure,AvgInterpurchase,R_score,F_score,M_score,RFM_sum,RFM_segment,segment,PredictedCLV_6m
12346,United Kingdom,326,3,77352.96,25784.32,25,321,160.5,2,3,5,10,At-Risk,VIP,23.27
12347,Iceland,2,8,4921.53,615.19,126,402,57.0,5,4,5,14,Champions,VIP,521.59
12348,Finland,75,5,1658.4,331.68,24,362,90.5,3,4,4,11,Loyal,Loyal,160.92
12349,Italy,19,3,3678.69,1226.23,137,570,285.0,5,3,5,13,Regular,VIP,5.21
12350,Norway,310,1,294.4,294.4,16,0,0.0,2,1,2,5,Lost,Occasional,3.15
12351,Unspecified,375,1,300.93,300.93,21,0,0.0,2,1,2,5,Lost,Occasional,49.95
12352,Norway,36,9,1729.54,192.17,68,356,44.1,4,5,4,13,Champions,Loyal,234.43
12353,Bahrain,204,2,406.76,203.38,23,204,204.0,2,2,2,6,Lost,Occasional,13.1
12354,Spain,232,1,1079.4,1079.4,58,0,0.0,2,1,3,6,Lost,Occasional,3.03
12355,Bahrain,214,2,947.61,473.8,35,353,353.0,2,2,3,7,Lost,Occasional,18.18
12356,Portugal,23,6,5611.73,935.29,103,401,79.8,4,4,5,13,Champions,VIP,3318.25
12357,Switzerland,33,2,17437.66,8718.83,260,355,355.0,4,2,5,11,New / Promising,VIP,15.26
12358,Austria,2,5,3447.07,689.41,55,730,182.0,5,4,5,14,Champions,VIP,67.65
12359,Cyprus,58,10,8873.39,887.34,305,676,74.9,4,5,5,14,Champions,VIP,885.49
12360,Austria,52,6,3612.89,602.15,159,603,120.4,4,4,5,13,Champions,VIP,236.42
12361,Belgium,287,4,451.25,112.81,17,394,131.0,2,3,2,7,Regular,At-Risk,80.07
12362,Belgium,3,10,4737.23,473.72,200,292,31.9,5,5,5,15,Champions,VIP,2247.35
12363,Unspecified,110,2,552.0,276.0,23,132,132.0,3,2,2,7,Regular,Occasional,6.09
12364,Belgium,8,4,1208.1,302.02,69,104,34.3,5,3,4,12,Regular,Loyal,79.37
12365,Cyprus,291,1,320.69,320.69,21,0,0.0,2,1,2,5,Lost,Occasional,2.72
12366,Cyprus,634,1,500.24,500.24,3,0,0.0,1,1,2,4,Lost,Occasional,23.87
12367,Denmark,4,1,150.9,150.9,10,0,0.0,5,1,1,7,New / Promising,At-Risk,9.63
12368,Cyprus,628,1,917.7,917.7,18,0,0.0,1,1,3,5,Lost,Occasional,7.17
12369,Austria,413,3,1511.15,503.72,89,228,113.5,1,3,4,8,At-Risk,Occasional,52.7
