StockCode,Description,units,revenue,orders,customers,is_recommended
10002,INFLATABLE POLITICAL GLOBE,8479,6638.2699999999995,297,164,True
10080,GROOVY CACTUS INFLATABLE,303,124.60999999999999,26,23,False
10109,BENDY COLOUR PENCILS,4,1.68,1,1,False
10120,DOGGY RUBBER,648,136.07999999999998,62,52,False
10123C,HEARTS WRAPPING TAPE,628,226.76000000000002,46,39,False
10123G,ARMY CAMO WRAPPING TAPE,2246,157.18,12,12,False
10124A,SPOTS ON RED BOOKCOVER TAPE,58,24.36,18,18,False
10124G,ARMY CAMO BOOKCOVER TAPE,32,13.44,9,9,False
10125,MINI FUNKY DESIGN TAPES,1970,1562.7,120,87,True
10133,COLOURING PENCILS BROWN TUBE,3307,1910.79,203,153,False
10134,COLOURING PENCILS BROWN TUBE,612,702.3,48,44,False
10135,COLOURING PENCILS BROWN TUBE,3887,4048.14,249,178,True
10138,ASSORTED COLOUR JUMBO PEN,247,103.74,16,14,False
11001,ASSTD DESIGN RACING CAR PEN,4273,6608.8099999999995,178,118,True
15030,FAN BLACK FRAME,254,73.66,26,23,True
15034,PAPER POCKET TRAVELING FAN,9818,1156.12,172,123,True
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,634,303,True
15039,SANDALWOOD FAN,4146,2848.9,180,127,True
15044A,PINK PAPER PARASOL,4894,12803.779999999999,194,116,True
15044B,BLUE PAPER PARASOL,1624,4376.4,148,97,True
15044C,PURPLE PAPER PARASOL,862,2428.5,160,100,True
15044D,RED PAPER PARASOL,1544,4252.84,188,105,True
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788,321,True
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863,347,True
15056P,EDWARDIAN PARASOL PINK,2436,11872.81,321,186,True
15058A,BLUE POLKADOT GARDEN PARASOL,148,1104.6,51,40,True
15058A,BLUE WHITE SPOTS GARDEN PARASOL,271,1394.45,55,41,True
15058B,PINK POLKADOT GARDEN PARASOL,121,913.95,44,35,False
15058B,PINK WHITE SPOTS GARDEN PARASOL,180,1007.0,47,36,False
15058C,ICE CREAM DESIGN GARDEN PARASOL,413,1963.35,71,56,True
15059A,ENGLISH ROSE EDWARDIAN PARASOL,505,1515.0,1,1,False
15060B,FAIRY CAKE DESIGN UMBRELLA,1137,4138.17,274,174,True
16008,SMALL FOLDING SCISSOR(POINTED EDGE),3141,422.96,85,64,True
16010,FOLDING CAMPING SCISSOR W/KNIF & S,32,3.84,4,4,False
16011,ANIMAL STICKERS,3812,799.3199999999999,112,83,True
16012,FOOD/DRINK SPONGE STICKERS,2118,444.78,62,53,False
16012,FOOD/DRINK SPUNGE STICKERS,759,158.19,20,18,False
16014,SMALL CHINESE STYLE SCISSOR,29354,9512.68,92,46,True
16015,MEDIUM CHINESE STYLE SCISSOR,1572,711.38,65,40,True
16016,LARGE CHINESE STYLE SCISSOR,2307,1864.75,105,57,True
16020C,CLEAR STATIONERY BOX SET,82,69.69999999999999,24,22,False
16033,MINI HIGHLIGHTER PENS,15001,1530.12,49,43,False
16043,POP ART PUSH DOWN RUBBER,2142,179.04000000000002,12,11,False
16044,POP-ART FLUORESCENT PENS,6192,388.8,2,2,False
16045,POPART WOODEN PENCILS ASST,9300,428.0,72,65,True
16046,TEATIME PEN CASE & PENS,9949,1043.53,45,44,False
16047,POP ART PEN CASE & PENS,10587,1015.59,23,21,False
16048,TEATIME ROUND PENCIL SHARPENER,3413,498.66,69,59,False
16049,TEATIME GEL PENS ASST,3144,542.88,25,22,False
16050,TEATIME PENCIL WITH RUBBER,122,30.5,4,4,False
16051,TEATIME PENCIL W STAMP ASST,938,82.2,3,3,False
16052,TEATIME PUSH DOWN RUBBER,810,249.35,21,18,False
16053,POPART COL BALLPOINT PEN ASST,4298,182.58,8,8,False
16054,POPART RECT PENCIL SHARPENER ASST,1205,156.9,37,32,False
16119,FUNKY GIRL ADDRESS BOOK,271,128.21,7,7,False
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,3,11.25,2,2,False
16151A,FLOWERS HANDBAG blue and orange,49,61.25,3,3,False
16156L,WRAP CAROUSEL,375,157.5,14,13,False
16156L,"WRAP, CAROUSEL",575,241.5,22,20,False
16156N,"WRAP, FRIENDSHIP ON GREEN",1450,609.0,55,51,False
16156S,WRAP PINK FAIRY CAKES,16586,6527.12,417,271,True
16161C,WRAP SPEED DEMONS,450,45.0,2,2,False
16161E,WRAP BOUDOIR,750,75.0,9,8,False
16161G,WRAP BAD HAIR DAY,975,97.5,33,31,False
16161M,WRAP  PINK FLOCK,1050,439.0,39,36,False
16161P,WRAP ENGLISH ROSE,13198,5435.4,440,289,True
16161U,WRAP SUKI AND FRIENDS,6676,2721.92,208,148,True
16161U,"WRAP,SUKI AND FRIENDS",3325,1352.5,109,86,True
16162L,THE KING GIFT BAG,8083,553.79,17,16,False
16162M,THE KING GIFT BAG 25x24x12cm,86,36.12,12,10,False
16168M,FUNKY MONKEY GIFT BAG MEDIUM,1578,425.16,53,42,False
16168S,FUNKY MONKEY GIFT BAG SMALL,1274,121.86,7,4,False
16169A,WRAP CHRISTMAS DECOUPAGE,25,10.5,1,1,False
16169C,WRAP BLUE REINDEER,1350,567.0,43,42,False
16169D,WRAP WINTER FOREST,250,105.0,9,9,False
16169E,WRAP 50'S  CHRISTMAS,4563,1892.46,149,143,True
16169F,WRAP BLIZZARD,975,409.5,34,34,False
16169G,WRAP ROMANTIC DECOUPAGE,25,10.5,1,1,False
16169K,WRAP FOLK ART,2050,648.25,59,56,False
16169M,WRAP DAISY CARPET,2060,640.95,59,56,False
16169N,WRAP BLUE RUSSIAN FOLKART,2025,626.25,56,52,True
16169P,WRAP GREEN RUSSIAN FOLKART,1750,533.75,48,46,False
16201A,PASTEL PINK PHOTO ALBUM,100,199.8,8,7,False
16201B,PASTEL BLUE PHOTO ALBUM,24,46.8,2,2,False
16202A,PASTEL PINK PHOTO ALBUM,660,266.45,19,16,False
16202B,PASTEL BLUE PHOTO ALBUM,1034,469.21,18,13,False
16202C,BEIGE PHOTO ALBUM,94,201.29999999999998,10,10,False
16202E,BLACK PHOTO ALBUM,81,150.6,13,12,False
16206B,RED PURSE WITH PINK HEART,96,116.4,16,14,False
16207A,PINK STRAWBERRY HANDBAG,55,162.25,19,17,False
16207B,PINK HEART RED HANDBAG,211,315.96,13,12,False
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,357,232.04999999999998,30,29,False
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,8,5.2,3,3,False
16216,LETTER SHAPE PENCIL SHARPENER,4135,358.18,78,69,True
16218,CARTOON  PENCIL SHARPENERS,4525,375.6,70,60,False
16219,HOUSE SHAPE PENCIL SHARPENER,3206,371.01,66,58,True
16225,RATTLE SNAKE EGGS,1420,1078.64,112,90,False
16235,RECYCLED PENCIL WITH RABBIT ERASER,5088,1031.58,160,124,False
16236,KITTY PENCIL ERASERS,2425,503.65,143,108,True
16237,SLEEPING CAT ERASERS,9730,1959.3,340,209,True
16238,PARTY TIME PENCIL ERASERS,2232,469.42,135,104,False
16239,BALLERINA HEART DECORATION.,338,468.4,13,13,False
16243B,BROWN COZY SQUARE PHOTO ALBUM,205,399.75,1,1,False
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,142,293.0,6,6,False
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,309,612.85,8,8,True
16245A,PINK MINI STATIONERY SET W CASE,11,13.75,7,7,False
16248B,BLUE HOLE PUNCH,81,101.25,12,12,False
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,912,258.36,19,17,False
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,493,207.06,20,17,False
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,169,70.98,10,8,False
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1026,347.19,74,58,False
16258B,DAISY ERASERS IN BAG,1014,219.34,13,13,False
16259,PIECE OF CAMO STATIONERY SET,5473,766.09,55,46,True
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1211,299.34999999999997,23,20,True
17003,BROCADE RING PURSE,70082,14640.96,387,215,True
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,34,71.4,6,6,False
17011A,ORIGAMI VANILLA INCENSE+FLOWER,254,150.0,6,6,False
17011B,ORIGAMI JASMINE INCENSE+FLOWER,19,11.1,2,2,False
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,334,217.1,1,1,False
17011D,ORIGAMI ROSE INCENSE+FLOWER,207,129.3,2,2,False
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124,80.6,1,1,False
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,380,315.15,15,15,False
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,644,586.6,34,30,True
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,617,590.8499999999999,48,43,False
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,777,747.25,56,47,True
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,426,426.7,51,41,True
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,240,236.39999999999998,12,12,False
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,493,451.45,47,38,True
17013B,ORIGAMI JASMINE INCENSE IN TUBE,255,217.6,2,2,False
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,213,89.46000000000001,2,2,False
17013D,ORIGAMI ROSE INCENSE IN TUBE,1048,515.46,21,17,False
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,61,25.05,4,4,False
17014A,ORIGAMI VANILLA INCENSE CONES,247,111.81,9,9,False
17014C,ORIGAMI LAVENDER INCENSE CONES,96,40.32,1,1,False
17014D,ORIGAMI ROSE INCENSE CONES,476,194.28,5,5,False
17014E,ORIGAMI OPIUM INCENSE CONES,93,33.3,4,4,False
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,61,23.700000000000003,4,4,False
17021,NAMASTE SWAGAT INCENSE,3714,982.44,75,45,False
17027A,INCENSE BAZAAR CANNABIS,228,84.84,2,1,False
17028J,INCENSE BAZAAR PEACH,6,2.52,1,1,False
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3279,867.55,68,58,True
17038,PORCELAIN BUDAH INCENSE HOLDER,2524,225.4,30,21,True
17039,INLAID WOOD INCENSE HOLDER,3641,813.09,30,20,True
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,1,1,False
17084A,TRANQUILITY MASALA INCENSE,442,92.82,18,14,True
17084G,MOON INCENSE,50,10.5,2,2,False
17084J,LOVE POTION MASALA INCENSE,454,95.34,19,17,False
17084N,FAIRY DREAMS INCENSE,2391,485.86,67,42,True
17084P,DRAGONS BLOOD INCENSE,874,173.54,26,23,False
17084R,ASSORTED INCENSE PACK,10625,1968.45,66,29,False
17090A,LAVENDER INCENSE 40 CONES IN TIN,173,182.65,26,24,False
17090D,VANILLA INCENSE 40 CONES IN TIN,88,105.2,28,21,False
17091A,LAVENDER INCENSE IN TIN,2073,1255.6499999999999,110,78,True
17091B,JASMINE TEA INCENSE IN TIN,264,286.8,43,35,True
17091F,SANDALWOOD INCENSE IN TIN,16,20.0,6,6,False
17091J,VANILLA INCENSE IN TIN,3931,2122.19,161,108,True
17096,ASSORTED LAQUERED INCENSE HOLDERS,6157,1081.65,35,25,True
17107D,FLOWER FAIRY 5 DRAWER LINERS,59,150.45,20,18,True
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.3,1,1,True
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",241,614.5500000000001,61,52,True
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,355,149.1,23,17,False
17109A,FLOWER FAIRY INCENSE LILY,709,333.61,13,12,False
17109B,FLOWER FAIRY INCENSE LAVENDER,4541,892.9100000000001,16,13,False
17109C,FLOWER FAIRY INCENSE ROSE,3124,661.23,15,13,False
17109D,FLOWER FAIRY INCENSE BOUQUET,1253,584.87,36,33,False
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,84,56.28,10,7,False
17129D,CLEAR COLOUR GLASS GEMS IN BAG,518,344.53999999999996,19,12,False
17129F,BLUE GLASS GEMS IN BAG,624,418.38,25,14,False
17129F,DEEP BLUE GLASS GEMS IN BAG,316,208.12,16,8,False
17136A,BLUE STONES ON WIRE FOR CANDLE,743,61.78,34,28,True
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1584,633.24,80,64,True
17164D,ASS COL SMALL SAND FROG P'WEIGHT,1144,444.48,27,26,True
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,809,750.63,56,43,True
17165D,ASS COL LARGE SAND FROG P'WEIGHT,716,682.32,89,62,False
17174,ASSTD RASTA KEY-CHAINS,36,15.120000000000001,7,7,False
17178,FLAT PALM T-LIGHT HOLDER,133,156.65,24,20,True
17181,CIRCLE OF FRIENDS CANDLE HOLDER,294,341.7,28,26,True
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,33,123.75,12,9,True
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,11335,1017.1800000000001,51,40,True
18010,ASSORTED FRAGRANCE BATH CONFETTI,56,23.52,6,6,False
18094C,WHITE AND BLUE CERAMIC OIL BURNER,312,351.6,39,21,False
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,20,25.0,4,3,False
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,106,241.5,13,12,False
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,17,43.349999999999994,12,10,False
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,7,17.85,3,3,False
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1534,3293.7,159,110,True
18098A,PINK PORCELAIN B'FLY OIL BURNER,2,5.9,2,2,False
18098B,BLUE PORCELAIN B'FLY OIL BURNER,3,8.850000000000001,3,3,False
18098C,PORCELAIN BUTTERFLY OIL BURNER,1123,2832.85,177,104,True
20615,BLUE POLKADOT PASSPORT COVER,236,243.84,40,32,True
20615,BLUE SPOTTY PASSPORT COVER,222,341.2,38,32,True
20616,CHERRY BLOSSOM PASSPORT COVER,188,236.18,44,31,False
20617,FIRST CLASS PASSPORT COVER,452,863.88,74,59,True
20618,QUEEN OF THE SKIES PASSPORT COVER,193,400.38,74,50,True
20619,TROPICAL PASSPORT COVER,373,566.33,68,46,False
20620,RED SPOTTY PASSPORT COVER,1,2.1,1,1,False
20621,ECONOMY PASSPORT COVER,199,417.90000000000003,29,23,False
20622,VIP PASSPORT COVER,35,73.5,11,8,True
20622,VIPPASSPORT COVER,488,840.6800000000001,71,54,True
20652,BLUE POLKADOT LUGGAGE TAG,159,206.01,45,34,False
20652,BLUE SPOTTY LUGGAGE TAG,1056,486.0,44,40,False
20653,CHERRY BLOSSOM LUGGAGE TAG,1927,428.89,31,26,False
20654,FIRST CLASS LUGGAGE TAG,339,414.63,84,65,False
20655,QUEEN OF SKIES LUGGAGE TAG,264,321.02,91,55,True
20657,TROPICAL LUGGAGE TAG,1692,534.14,71,54,False
20658,RED RETROSPOT LUGGAGE TAG,457,571.25,98,72,True
20658,RED SPOTTY LUGGAGE TAG,876,1090.44,125,96,True
20659,ECONOMY LUGGAGE TAG,287,380.81,89,55,True
20660,VIP LUGGAGE TAG,71,88.75,26,22,False
20661,BLUE POLKADOT PURSE,354,218.82,12,9,False
20661,BLUE SPOTTY PURSE,433,443.34999999999997,30,29,False
20662,FIRST CLASS HOLIDAY PURSE,697,394.27,25,23,False
20663,QUEEN OF THE SKIES HOLIDAY PURSE,1037,277.19,15,13,False
20664,TROPICAL HOLIDAY PURSE,31,91.45,16,11,False
20665,RED RETROSPOT PURSE,467,1368.05,99,78,True
20665,RED SPOTTY PURSE,698,2051.9,123,100,True
20666,ECONOMY HOLIDAY PURSE,871,340.65,22,22,False
20667,CHERRY BLOSSOM PURSE,21,61.95,9,6,False
20668,DISCO BALL CHRISTMAS DECORATION,20550,2292.04,309,181,True
20669,RED HEART LUGGAGE TAG,627,781.47,132,103,False
20670,VIP HOLIDAY PURSE,664,296.48,22,20,False
20671,BLUE TEATIME PRINT BOWL,731,900.0699999999999,106,70,True
20672,PINK TEATIME PRINT BOWL,116,145.0,22,21,True
20673,STRAWBERRIES PRINT BOWL,5,6.25,2,2,False
20674,GREEN POLKADOT BOWL,1599,1931.56,184,118,True
20674,GREEN SPOTTY BOWL,1497,1816.53,176,119,True
20675,BLUE POLKADOT BOWL,3116,3649.97,275,180,True
